Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,235.410004,241.610001,234.660004,240.740005,237.953537,28880400
2022-10-04,245.089996,250.360001,244.979996,248.880005,245.999344,34888400
2022-10-05,245.990005,250.580002,244.100006,249.199997,246.315628,20347100
2022-10-06,247.929993,250.339996,246.080002,246.789993,243.933517,20239900
2022-10-07,240.899994,241.320007,233.169998,234.240005,231.528778,37769600
2022-10-10,233.050003,234.559998,226.729996,229.250000,226.596542,29743600
2022-10-11,227.619995,229.059998,224.110001,225.410004,222.800995,30474000
2022-10-12,225.399994,227.860001,223.960007,225.750000,223.137039,21903900
2022-10-13,219.850006,236.100006,219.130005,234.240005,231.528778,42551800
2022-10-14,235.539993,237.240005,228.339996,228.559998,225.914520,30198600
2022-10-17,235.820007,238.960007,235.139999,237.529999,234.780701,28142300
2022-10-18,243.240005,243.929993,235.369995,238.500000,235.739487,26329600
2022-10-19,237.039993,239.610001,234.289993,236.479996,233.742844,19985700
2022-10-20,235.770004,241.309998,234.869995,236.149994,233.416672,21811000
2022-10-21,234.740005,243.000000,234.500000,242.119995,239.317581,26299700
2022-10-24,243.759995,247.839996,241.300003,247.250000,244.388199,24911200
2022-10-25,247.259995,251.039993,245.830002,250.660004,247.758713,34775500
2022-10-26,231.169998,238.300003,230.059998,231.320007,228.642578,82543200
2022-10-27,231.039993,233.690002,225.779999,226.750000,224.125458,40424600
2022-10-28,226.240005,236.600006,226.050003,235.869995,233.139908,40647700
2022-10-31,233.759995,234.919998,231.149994,232.130005,229.443207,28357300
2022-11-01,234.600006,235.740005,227.330002,228.169998,225.529037,30592300
2022-11-02,229.460007,231.300003,220.039993,220.100006,217.552460,38407000
2022-11-03,220.089996,220.410004,213.979996,214.250000,211.770142,36633900
2022-11-04,217.550003,221.589996,213.429993,221.389999,218.827515,36789100
2022-11-07,221.990005,228.410004,221.279999,227.869995,225.232513,33498000
2022-11-08,228.699997,231.649994,225.839996,228.869995,226.220947,28192500
2022-11-09,227.369995,228.630005,224.330002,224.509995,221.911407,27852900
2022-11-10,235.429993,243.330002,235.000000,242.979996,240.167618,46268000
2022-11-11,242.990005,247.990005,241.929993,247.110001,244.249832,34620200
2022-11-14,241.990005,243.910004,239.210007,241.550003,238.754181,31123300
2022-11-15,245.660004,247.000000,240.029999,241.970001,239.169312,31390100
2022-11-16,242.789993,243.800003,240.419998,241.729996,239.605438,24093300
2022-11-17,237.779999,243.250000,237.630005,241.679993,239.555878,23123500
2022-11-18,243.509995,243.740005,239.029999,241.220001,239.099930,27613500
2022-11-21,241.429993,244.669998,241.190002,242.050003,239.922638,26394700
2022-11-22,243.589996,245.309998,240.710007,245.029999,242.876434,19665700
2022-11-23,245.110001,248.279999,244.270004,247.580002,245.404022,19508500
2022-11-25,247.309998,248.699997,246.729996,247.490005,245.314835,9200800
2022-11-28,246.080002,246.649994,240.800003,241.759995,239.635178,24778200
2022-11-29,241.399994,242.789993,238.210007,240.330002,238.217743,17956300
2022-11-30,240.570007,255.330002,239.860001,255.139999,252.897568,47594200
2022-12-01,253.869995,256.119995,250.919998,254.690002,252.451538,26041500
2022-12-02,249.820007,256.059998,249.690002,255.020004,252.778641,21528500
2022-12-05,252.009995,253.820007,248.059998,250.199997,248.000992,23435300
2022-12-06,250.820007,251.860001,243.779999,245.119995,242.965637,22463700
2022-12-07,244.830002,246.160004,242.210007,244.369995,242.222244,20481500
2022-12-08,244.839996,248.740005,243.059998,247.399994,245.225586,22611800
2022-12-09,244.699997,248.309998,244.160004,245.419998,243.263000,20609700
2022-12-12,247.449997,252.539993,247.169998,252.509995,250.290680,30665100
2022-12-13,261.690002,263.920013,253.070007,256.920013,254.661942,42196900
2022-12-14,257.130005,262.589996,254.309998,257.220001,254.959305,35410900
2022-12-15,253.720001,254.199997,247.339996,249.009995,246.821457,35560400
2022-12-16,248.550003,249.839996,243.509995,244.690002,242.539429,86102000
2022-12-19,244.860001,245.210007,238.710007,240.449997,238.336700,29696400
2022-12-20,239.399994,242.910004,238.419998,241.800003,239.674820,25150800
2022-12-21,241.690002,245.619995,240.110001,244.429993,242.281708,23690600
2022-12-22,241.259995,241.990005,233.869995,238.190002,236.096558,28651700
2022-12-23,236.110001,238.869995,233.940002,238.729996,236.631805,21207000
2022-12-27,238.699997,238.929993,235.830002,236.960007,234.877380,16688600
2022-12-28,236.889999,239.720001,234.169998,234.529999,232.468719,17457100
2022-12-29,235.649994,241.919998,235.649994,241.009995,238.891769,19770700
2022-12-30,238.210007,239.960007,236.660004,239.820007,237.712219,21938500
2023-01-03,243.080002,245.750000,237.399994,239.580002,237.474319,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,227.086441,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,220.356125,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,222.953094,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,225.123825,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,226.838638,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,233.697830,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,236.413742,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,237.127411,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,238.237579,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,233.737457,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,229.891571,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,238.108704,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,240.447968,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,239.912704,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,238.495285,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,245.820343,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,245.978928,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,240.576828,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,245.632019,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,250.528595,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,262.274414,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,256.079376,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,254.513245,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,265.208435,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,264.385742,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,261.303040,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,260.787628,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,268.935394,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,269.777924,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,267.621582,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,260.496796,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,256.432587,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,251.076584,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,249.923904,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,253.163361,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,247.648346,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,248.582428,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,247.847092,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,244.716965,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,249.526428,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,253.680054,30760100
2023-03-06,256.429993,260.119995,255.979996,256.869995,255.250107,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,252.547241,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,252.100098,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,250.728806,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,247.022324,28333900
2023-03-13,247.399994,257.910004,245.729996,253.919998,252.318710,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,259.145386,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,263.766052,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,274.458221,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,277.667816,69527400
2023-03-20,276.980011,277.480011,269.850006,272.230011,270.513275,43466600
2023-03-21,274.880005,275.000000,269.519989,273.779999,272.053467,34558700
2023-03-22,273.399994,281.040009,272.179993,272.290009,270.572876,34873300
2023-03-23,277.940002,281.059998,275.200012,277.660004,275.908997,36610900
2023-03-24,277.239990,280.630005,275.279999,280.570007,278.800659,28172000
2023-03-27,280.500000,281.459991,275.519989,276.380005,274.637054,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,273.494354,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,278.741028,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,282.258698,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,286.481873,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,285.418640,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,285.368958,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,282.546875,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,289.761078,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,287.565033,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,281.046387,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,281.702209,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,288.012177,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,284.335541,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,286.978729,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,286.551453,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,286.630951,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,284.305695,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,283.957947,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,279.993073,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,273.683136,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,293.507294,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,302.907654,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,305.322357,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,303.633057,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,303.483978,26404400
2023-05-03,306.619995,308.609985,304.089996,304.399994,302.480377,22360800
2023-05-04,306.239990,307.760010,303.399994,305.410004,303.483978,22519900
2023-05-05,305.720001,311.970001,304.269989,310.649994,308.690948,28181200
2023-05-08,310.130005,310.200012,306.089996,308.649994,306.703583,21318600
2023-05-09,308.000000,310.040009,306.309998,307.000000,305.063995,21340800
2023-05-10,308.619995,313.000000,307.670013,312.309998,310.340454,30078000
2023-05-11,310.100006,311.119995,306.260010,310.109985,308.154327,31680200
2023-05-12,310.549988,310.649994,306.600006,308.970001,307.021545,19758100
2023-05-15,309.100006,309.899994,307.589996,309.459991,307.508453,16336500
2023-05-16,309.829987,313.709991,309.829987,311.739990,309.774078,26730300
2023-05-17,312.290009,314.429993,310.739990,314.000000,312.701935,24315000
2023-05-18,314.529999,319.040009,313.720001,318.519989,317.203217,27276000
2023-05-19,316.739990,318.750000,316.369995,318.339996,317.023987,27529500
2023-05-22,318.600006,322.589996,318.010010,321.179993,319.852234,24115700
2023-05-23,320.029999,322.720001,315.250000,315.260010,313.956726,30797200
2023-05-24,314.730011,316.500000,312.609985,313.850006,312.552551,23384900
2023-05-25,323.239990,326.899994,320.000000,325.920013,324.572662,43301700
2023-05-26,324.019989,333.399994,323.880005,332.890015,331.513855,36630600
2023-05-30,335.230011,335.739990,330.519989,331.209991,329.840790,29503100
2023-05-31,332.290009,335.940002,327.329987,328.390015,327.032440,45950600
2023-06-01,325.929993,333.529999,324.720001,332.579987,331.205109,26773900
2023-06-02,334.250000,337.500000,332.549988,335.399994,334.013428,25864000
2023-06-05,335.220001,338.559998,334.660004,335.940002,334.551239,21307100
2023-06-06,335.329987,335.369995,332.170013,333.679993,332.300568,20396200
2023-06-07,331.649994,334.489990,322.500000,323.380005,322.043152,40717100
2023-06-08,323.940002,326.640015,323.350006,325.260010,323.915405,23277700
2023-06-09,324.989990,329.989990,324.410004,326.790009,325.439056,22514900
2023-06-12,328.579987,332.100006,325.160004,331.850006,330.478119,24260300
2023-06-13,334.470001,336.980011,330.390015,334.290009,332.908051,22951300
2023-06-14,334.339996,339.040009,332.809998,337.339996,335.945435,26003800
2023-06-15,337.480011,349.839996,337.200012,348.100006,346.660980,38899100
2023-06-16,351.320007,351.470001,341.950012,342.329987,340.914795,46533600
2023-06-20,339.309998,342.079987,335.859985,338.049988,336.652496,26375400
2023-06-21,336.369995,337.730011,332.070007,333.559998,332.181061,25117800
2023-06-22,334.119995,340.119995,333.339996,339.709991,338.305603,23556800
2023-06-23,334.359985,337.959991,333.450012,335.019989,333.635010,23084700
2023-06-26,333.720001,336.109985,328.489990,328.600006,327.241577,21520600
2023-06-27,331.859985,336.149994,329.299988,334.570007,333.186890,24354100
2023-06-28,334.660004,337.980011,333.809998,335.850006,334.461609,20259500
